inventor_name,country,patent_count,overall_rank,dense_rank,quartile,pct_of_total
John Dupont,CA,8,1,1,1,0.8
Min Zhang,DE,8,1,1,1,0.8
James Wang,CN,8,1,1,1,0.8
Priya Zhang,DE,8,1,1,1,0.8
Emma Rossi,IN,7,5,2,1,0.7
Emma Rossi,US,7,5,2,1,0.7
Li Hassan,TW,7,5,2,1,0.7
James Lee,FR,7,5,2,1,0.7
Li Patel,JP,7,5,2,1,0.7
Sofia Wang,US,7,5,2,1,0.7
Sofia Kim,FR,7,5,2,1,0.7
Priya Smith,KR,7,5,2,1,0.7
Alice Patel,TW,7,5,2,1,0.7
Emma Zhang,DE,7,5,2,1,0.7
Omar Rossi,CN,6,15,3,1,0.6
Alice Rossi,GB,6,15,3,1,0.6
Carlos Brown,IN,6,15,3,1,0.6
Li Patel,IN,6,15,3,1,0.6
Priya Johnson,JP,6,15,3,1,0.6
John Dupont,CN,6,15,3,1,0.6
John Dupont,KR,6,15,3,1,0.6
John Mueller,JP,6,15,3,1,0.6
Carlos Dupont,TW,6,15,3,1,0.6
Kenji Zhang,TW,6,15,3,1,0.6
Sofia Kim,CA,6,15,3,1,0.6
Park Rossi,TW,6,15,3,1,0.6
Min Rossi,CA,6,15,3,1,0.6
John Brown,FR,6,15,3,1,0.6
Omar Zhang,GB,6,15,3,1,0.6
Park Smith,CN,6,15,3,1,0.6
