year,country,patents
2015,US,10
2015,KR,10
2015,TW,9
2015,FR,8
2015,DE,7
2016,DE,18
2016,TW,15
2016,KR,14
2016,FR,11
2016,US,10
2017,KR,14
2017,US,11
2017,DE,11
2017,FR,10
2017,TW,8
2018,FR,12
2018,DE,12
2018,US,11
2018,KR,11
2018,TW,6
2019,DE,14
2019,FR,12
2019,US,10
2019,KR,10
2019,TW,7
2020,TW,17
2020,KR,14
2020,DE,12
2020,US,11
2020,FR,10
2021,US,14
2021,DE,14
2021,FR,13
2021,TW,12
2021,KR,8
2022,TW,20
2022,FR,13
2022,DE,12
2022,US,9
2022,KR,9
2023,DE,15
2023,FR,9
2023,US,8
2023,TW,8
2023,KR,6
2024,FR,14
2024,US,12
2024,TW,12
2024,KR,9
2024,DE,9
