inventor_id,name,country,patent_count,tier
INV0040,John Dupont,CA,8,Prolific (5-9)
INV0058,Min Zhang,DE,8,Prolific (5-9)
INV0200,James Wang,CN,8,Prolific (5-9)
INV0244,Priya Zhang,DE,8,Prolific (5-9)
INV0121,Emma Rossi,IN,7,Prolific (5-9)
INV0155,Emma Rossi,US,7,Prolific (5-9)
INV0168,Li Hassan,TW,7,Prolific (5-9)
INV0228,James Lee,FR,7,Prolific (5-9)
INV0233,Li Patel,JP,7,Prolific (5-9)
INV0252,Sofia Wang,US,7,Prolific (5-9)
INV0273,Sofia Kim,FR,7,Prolific (5-9)
INV0277,Priya Smith,KR,7,Prolific (5-9)
INV0297,Alice Patel,TW,7,Prolific (5-9)
INV0298,Emma Zhang,DE,7,Prolific (5-9)
INV0029,Omar Rossi,CN,6,Prolific (5-9)
INV0034,Alice Rossi,GB,6,Prolific (5-9)
INV0037,Carlos Brown,IN,6,Prolific (5-9)
INV0044,Li Patel,IN,6,Prolific (5-9)
INV0047,Priya Johnson,JP,6,Prolific (5-9)
INV0074,John Dupont,CN,6,Prolific (5-9)
INV0076,John Dupont,KR,6,Prolific (5-9)
INV0083,John Mueller,JP,6,Prolific (5-9)
INV0148,Carlos Dupont,TW,6,Prolific (5-9)
INV0156,Kenji Zhang,TW,6,Prolific (5-9)
INV0158,Sofia Kim,CA,6,Prolific (5-9)
INV0197,Park Rossi,TW,6,Prolific (5-9)
INV0202,Min Rossi,CA,6,Prolific (5-9)
INV0206,John Brown,FR,6,Prolific (5-9)
INV0218,Omar Zhang,GB,6,Prolific (5-9)
INV0224,Park Smith,CN,6,Prolific (5-9)
INV0237,Li Brown,CN,6,Prolific (5-9)
INV0239,Priya Lee,GB,6,Prolific (5-9)
INV0255,Sofia Hassan,CA,6,Prolific (5-9)
INV0011,James Smith,US,5,Prolific (5-9)
INV0017,Sofia Sato,CA,5,Prolific (5-9)
INV0022,Sofia Lee,KR,5,Prolific (5-9)
INV0028,Li Hassan,IN,5,Prolific (5-9)
INV0035,James Rossi,CN,5,Prolific (5-9)
INV0046,Min Johnson,DE,5,Prolific (5-9)
INV0051,Wei Johnson,CA,5,Prolific (5-9)
INV0055,James Brown,IN,5,Prolific (5-9)
INV0057,Carlos Sato,KR,5,Prolific (5-9)
INV0061,Wei Zhang,GB,5,Prolific (5-9)
INV0062,James Dupont,FR,5,Prolific (5-9)
INV0063,Min Dupont,FR,5,Prolific (5-9)
INV0067,Park Tanaka,TW,5,Prolific (5-9)
INV0068,John Rossi,KR,5,Prolific (5-9)
INV0088,James Brown,DE,5,Prolific (5-9)
INV0103,Min Sato,DE,5,Prolific (5-9)
INV0113,Sofia Lee,FR,5,Prolific (5-9)
INV0133,Park Lee,KR,5,Prolific (5-9)
INV0146,Yuki Rossi,TW,5,Prolific (5-9)
INV0181,Kenji Garcia,GB,5,Prolific (5-9)
INV0186,Park Hassan,JP,5,Prolific (5-9)
INV0187,Yuki Hassan,JP,5,Prolific (5-9)
INV0189,James Mueller,DE,5,Prolific (5-9)
INV0211,Yuki Tanaka,DE,5,Prolific (5-9)
INV0212,Park Brown,IN,5,Prolific (5-9)
INV0223,Kenji Kim,KR,5,Prolific (5-9)
INV0227,Sofia Patel,DE,5,Prolific (5-9)
INV0229,Hans Sato,IN,5,Prolific (5-9)
INV0236,John Zhang,US,5,Prolific (5-9)
INV0249,Park Smith,JP,5,Prolific (5-9)
INV0254,Yuki Brown,TW,5,Prolific (5-9)
INV0256,Sofia Dupont,TW,5,Prolific (5-9)
INV0272,James Zhang,TW,5,Prolific (5-9)
INV0274,Li Hassan,DE,5,Prolific (5-9)
INV0284,Yuki Patel,CN,5,Prolific (5-9)
INV0294,Emma Rossi,KR,5,Prolific (5-9)
INV0295,Alice Kim,KR,5,Prolific (5-9)
INV0001,Emma Tanaka,CA,4,Active (2-4)
INV0010,Alice Wang,TW,4,Active (2-4)
INV0012,Hans Lee,US,4,Active (2-4)
INV0018,Kenji Lee,IN,4,Active (2-4)
INV0027,Priya Wang,JP,4,Active (2-4)
INV0032,James Zhang,US,4,Active (2-4)
INV0033,Sofia Patel,FR,4,Active (2-4)
INV0050,Kenji Johnson,DE,4,Active (2-4)
INV0065,Priya Mueller,JP,4,Active (2-4)
INV0070,Yuki Patel,CN,4,Active (2-4)
INV0071,Wei Garcia,US,4,Active (2-4)
INV0077,Carlos Sato,KR,4,Active (2-4)
INV0081,Carlos Garcia,US,4,Active (2-4)
INV0084,John Mueller,KR,4,Active (2-4)
INV0086,Hans Smith,TW,4,Active (2-4)
INV0089,Emma Hassan,FR,4,Active (2-4)
INV0090,Omar Zhang,US,4,Active (2-4)
INV0093,Carlos Zhang,FR,4,Active (2-4)
INV0095,Kenji Zhang,JP,4,Active (2-4)
INV0100,James Garcia,JP,4,Active (2-4)
INV0105,Sofia Johnson,US,4,Active (2-4)
INV0112,Yuki Johnson,DE,4,Active (2-4)
INV0122,Sofia Tanaka,FR,4,Active (2-4)
INV0123,Wei Sato,CA,4,Active (2-4)
INV0139,Yuki Hassan,GB,4,Active (2-4)
INV0140,Li Wang,JP,4,Active (2-4)
INV0143,Sofia Mueller,GB,4,Active (2-4)
INV0149,Sofia Kim,GB,4,Active (2-4)
INV0151,Park Garcia,GB,4,Active (2-4)
INV0157,Li Hassan,US,4,Active (2-4)
INV0163,James Rossi,DE,4,Active (2-4)
INV0173,Alice Wang,US,4,Active (2-4)
INV0175,Sofia Garcia,KR,4,Active (2-4)
INV0176,Sofia Wang,CN,4,Active (2-4)
INV0177,Hans Dupont,JP,4,Active (2-4)
INV0184,Kenji Johnson,US,4,Active (2-4)
INV0190,Carlos Patel,TW,4,Active (2-4)
INV0196,Kenji Patel,US,4,Active (2-4)
INV0209,Hans Dupont,CN,4,Active (2-4)
INV0213,Park Patel,CA,4,Active (2-4)
INV0215,Alice Rossi,US,4,Active (2-4)
INV0217,Alice Dupont,GB,4,Active (2-4)
INV0219,Omar Sato,CN,4,Active (2-4)
INV0221,Wei Garcia,DE,4,Active (2-4)
INV0231,Park Lee,TW,4,Active (2-4)
INV0241,Alice Sato,KR,4,Active (2-4)
INV0242,John Brown,KR,4,Active (2-4)
INV0250,Min Dupont,FR,4,Active (2-4)
INV0257,Priya Hassan,GB,4,Active (2-4)
INV0264,Wei Tanaka,DE,4,Active (2-4)
INV0268,Park Johnson,JP,4,Active (2-4)
INV0270,Carlos Hassan,FR,4,Active (2-4)
INV0278,Sofia Zhang,TW,4,Active (2-4)
INV0280,Sofia Sato,JP,4,Active (2-4)
INV0281,Min Dupont,TW,4,Active (2-4)
INV0283,Hans Patel,FR,4,Active (2-4)
INV0287,Li Johnson,CA,4,Active (2-4)
INV0004,Alice Hassan,FR,3,Active (2-4)
INV0006,Omar Garcia,FR,3,Active (2-4)
INV0007,Park Kim,IN,3,Active (2-4)
INV0013,Kenji Tanaka,DE,3,Active (2-4)
INV0014,John Mueller,KR,3,Active (2-4)
INV0015,Min Hassan,FR,3,Active (2-4)
INV0019,Yuki Zhang,US,3,Active (2-4)
INV0020,Li Dupont,JP,3,Active (2-4)
INV0021,Yuki Mueller,FR,3,Active (2-4)
INV0024,Wei Lee,GB,3,Active (2-4)
INV0031,John Garcia,IN,3,Active (2-4)
INV0036,Omar Patel,KR,3,Active (2-4)
INV0042,Kenji Garcia,KR,3,Active (2-4)
INV0045,Park Sato,CN,3,Active (2-4)
INV0066,Alice Lee,TW,3,Active (2-4)
INV0069,Min Brown,FR,3,Active (2-4)
INV0072,Min Lee,JP,3,Active (2-4)
INV0075,Hans Wang,TW,3,Active (2-4)
INV0078,Min Sato,CA,3,Active (2-4)
INV0085,Priya Garcia,IN,3,Active (2-4)
INV0087,Emma Smith,CN,3,Active (2-4)
INV0092,Min Johnson,CA,3,Active (2-4)
INV0094,Li Hassan,IN,3,Active (2-4)
INV0096,Min Sato,TW,3,Active (2-4)
INV0099,Hans Dupont,TW,3,Active (2-4)
INV0104,Priya Smith,DE,3,Active (2-4)
INV0106,Kenji Mueller,KR,3,Active (2-4)
INV0107,Yuki Dupont,GB,3,Active (2-4)
INV0108,Emma Tanaka,CN,3,Active (2-4)
INV0111,James Kim,IN,3,Active (2-4)
INV0116,Park Sato,KR,3,Active (2-4)
INV0119,Sofia Tanaka,GB,3,Active (2-4)
INV0124,Carlos Zhang,JP,3,Active (2-4)
INV0126,Carlos Smith,FR,3,Active (2-4)
INV0134,Park Kim,KR,3,Active (2-4)
INV0135,Emma Smith,FR,3,Active (2-4)
INV0144,Min Garcia,KR,3,Active (2-4)
INV0145,Priya Kim,CN,3,Active (2-4)
INV0152,Carlos Dupont,GB,3,Active (2-4)
INV0154,Park Sato,CA,3,Active (2-4)
INV0160,Kenji Johnson,CA,3,Active (2-4)
INV0164,Priya Hassan,DE,3,Active (2-4)
INV0167,Carlos Sato,JP,3,Active (2-4)
INV0170,Wei Tanaka,IN,3,Active (2-4)
INV0171,Sofia Garcia,CA,3,Active (2-4)
INV0172,Yuki Johnson,GB,3,Active (2-4)
INV0174,Yuki Wang,IN,3,Active (2-4)
INV0179,Wei Zhang,TW,3,Active (2-4)
INV0182,Carlos Patel,CA,3,Active (2-4)
INV0183,Park Tanaka,GB,3,Active (2-4)
INV0185,Priya Tanaka,FR,3,Active (2-4)
INV0188,Yuki Patel,US,3,Active (2-4)
INV0193,Min Smith,IN,3,Active (2-4)
INV0194,Priya Mueller,US,3,Active (2-4)
INV0208,Emma Lee,IN,3,Active (2-4)
INV0220,Hans Wang,JP,3,Active (2-4)
INV0225,Park Garcia,CA,3,Active (2-4)
INV0226,Wei Wang,IN,3,Active (2-4)
INV0234,Sofia Lee,KR,3,Active (2-4)
INV0238,Carlos Hassan,KR,3,Active (2-4)
INV0243,Carlos Mueller,DE,3,Active (2-4)
INV0246,Alice Patel,US,3,Active (2-4)
INV0248,Alice Johnson,IN,3,Active (2-4)
