patent_id,title,year,inventor_name,inventor_country,company_name
US9000010,Photonic Sensor Array,2024,James Lee,FR,Ibm
US9000016,Wireless Sensor Array,2024,Park Lee,US,Google Llc
US9000018,Encrypted Energy Storage Device,2024,Park Tanaka,GB,Huawei
US9000052,Neural Data Processing Method,2024,Sofia Garcia,KR,Microsoft
US9000094,Modular Display Panel,2024,John Patel,DE,Microsoft
US9000095,Optical Display Panel,2024,Alice Sato,GB,Bosch
US9000105,Autonomous Network Protocol,2024,Yuki Wang,IN,Google Llc
US9000122,Autonomous Display Panel,2024,Alice Hassan,FR,Qualcomm
US9000158,Autonomous Sensor Array,2024,James Patel,US,Siemens
US9000163,Neural Sensor Array,2024,Sofia Mueller,GB,Huawei
US9000166,Wireless Network Protocol,2024,Park Mueller,IN,Ibm
US9000175,Optical Drug Delivery Mechanism,2024,Sofia Sato,CA,Apple Inc
US9000180,Autonomous Communication System,2024,Park Rossi,TW,Microsoft
US9000185,Biomedical Network Protocol,2024,Wei Garcia,TW,Siemens
US9000186,Modular Communication System,2024,Emma Rossi,IN,Ibm
US9000192,Autonomous Machine Learning Model,2024,James Wang,CN,Sony
US9000197,Encrypted Data Processing Method,2024,Park Dupont,JP,Canon
US9000200,Semiconductor Image Recognition Algorithm,2024,Sofia Kim,FR,Lg Electronics
US9000234,Modular Image Recognition Algorithm,2024,John Johnson,US,Siemens
US9000244,Modular Machine Learning Model,2024,Sofia Wang,US,Basf
US9000260,Biomedical Machine Learning Model,2024,James Wang,CN,Huawei
US9000270,Biomedical Energy Storage Device,2024,Wei Brown,FR,Samsung
US9000285,Neural Network Protocol,2024,James Brown,IN,Lg Electronics
US9000293,Encrypted Image Recognition Algorithm,2024,James Wang,CN,Samsung
US9000297,Optical Drug Delivery Mechanism,2024,Park Lee,TW,Ibm
US9000299,Encrypted Sensor Array,2024,Omar Rossi,CN,Apple Inc
US9000324,Neural Network Protocol,2024,Wei Garcia,US,Apple Inc
US9000339,Neural Energy Storage Device,2024,Alice Hassan,FR,Ibm
US9000352,Photonic Communication System,2024,Min Johnson,DE,Lg Electronics
US9000358,Biomedical Sensor Array,2024,Park Hassan,JP,Toyota
US9000362,Neural Sensor Array,2024,Li Hassan,IN,Microsoft
US9000364,Semiconductor Display Panel,2024,Carlos Sato,KR,Lg Electronics
US9000368,Semiconductor Sensor Array,2024,Yuki Hassan,JP,Huawei
US9000375,Encrypted Network Protocol,2024,Carlos Garcia,US,Siemens
US9000378,Modular Network Protocol,2024,Carlos Brown,IN,Basf
US9000383,Quantum Communication System,2024,Carlos Sato,JP,Microsoft
