inventor_id,name,country
INV0001,Emma Tanaka,CA
INV0002,Park Wang,FR
INV0003,Sofia Dupont,CA
INV0004,Alice Hassan,FR
INV0005,James Patel,GB
INV0006,Omar Garcia,FR
INV0007,Park Kim,IN
INV0008,Kenji Kim,GB
INV0009,Priya Sato,DE
INV0010,Alice Wang,TW
INV0011,James Smith,US
INV0012,Hans Lee,US
INV0013,Kenji Tanaka,DE
INV0014,John Mueller,KR
INV0015,Min Hassan,FR
INV0016,John Patel,DE
INV0017,Sofia Sato,CA
INV0018,Kenji Lee,IN
INV0019,Yuki Zhang,US
INV0020,Li Dupont,JP
INV0021,Yuki Mueller,FR
INV0022,Sofia Lee,KR
INV0023,Min Mueller,DE
INV0024,Wei Lee,GB
INV0025,Park Rossi,KR
INV0026,Carlos Zhang,FR
INV0027,Priya Wang,JP
INV0028,Li Hassan,IN
INV0029,Omar Rossi,CN
INV0031,John Garcia,IN
INV0032,James Zhang,US
INV0033,Sofia Patel,FR
INV0034,Alice Rossi,GB
INV0035,James Rossi,CN
INV0036,Omar Patel,KR
INV0037,Carlos Brown,IN
INV0038,Sofia Smith,GB
INV0039,John Mueller,CA
INV0040,John Dupont,CA
INV0041,Park Tanaka,FR
INV0042,Kenji Garcia,KR
INV0043,Yuki Smith,GB
INV0044,Li Patel,IN
INV0045,Park Sato,CN
INV0046,Min Johnson,DE
INV0047,Priya Johnson,JP
INV0048,Yuki Dupont,CN
INV0049,Li Lee,US
INV0050,Kenji Johnson,DE
INV0051,Wei Johnson,CA
INV0052,James Patel,JP
INV0053,Priya Tanaka,TW
INV0054,Kenji Kim,TW
INV0055,James Brown,IN
INV0056,Min Sato,IN
INV0057,Carlos Sato,KR
INV0058,Min Zhang,DE
INV0059,Priya Johnson,FR
INV0060,Emma Rossi,IN
INV0061,Wei Zhang,GB
INV0062,James Dupont,FR
INV0063,Min Dupont,FR
INV0064,Park Brown,US
INV0065,Priya Mueller,JP
INV0066,Alice Lee,TW
INV0067,Park Tanaka,TW
INV0068,John Rossi,KR
INV0069,Min Brown,FR
INV0070,Yuki Patel,CN
INV0071,Wei Garcia,US
INV0072,Min Lee,JP
INV0073,Omar Hassan,DE
INV0074,John Dupont,CN
INV0075,Hans Wang,TW
INV0076,John Dupont,KR
INV0077,Carlos Sato,KR
INV0078,Min Sato,CA
INV0079,Priya Mueller,CA
INV0081,Carlos Garcia,US
INV0082,James Lee,CA
INV0083,John Mueller,JP
